コード,銘柄名,市場,現在値,前日比(%),時価総額(百万円),時価総額(億円),時価総額(兆円),ランク
1301,極洋,東P,4165,-65.0(-1.54%),"50,306",503,0.50,05_500億以上~1000億未満
130A,Ｖｅｒｉｔａｓ　Ｉｎ　Ｓｉｌｉ,東G,409,-5.0(-1.21%),"2,653",27,0.03,07_100億未満
1332,ニッスイ,東P,1252,-14.5(-1.14%),"382,192","3,822",3.82,04_1000億以上~5000億未満
1333,Ｕｍｉｏｓ,東P,1236,-23.0(-1.83%),"187,546","1,875",1.88,04_1000億以上~5000億未満
135A,ＶＲＡＩＮ　Ｓｏｌｕｔｉｏｎ,東G,3710,-300.0(-7.48%),"38,050",381,0.38,06_100億以上~500億未満
1375,ユキグニファクトリー,東P,1046,-11.0(-1.04%),"41,747",417,0.42,06_100億以上~500億未満
1376,カネコ種苗,東S,1391,-21.0(-1.49%),"16,376",164,0.16,06_100億以上~500億未満
1377,サカタのタネ,東P,4130,-55.0(-1.31%),"187,546","1,875",1.88,04_1000億以上~5000億未満
1379,ホクト,東P,1811,-11.0(-0.60%),"60,413",604,0.60,05_500億以上~1000億未満
137A,Ｃｏｃｏｌｉｖｅ,東G,569,+9.0(+1.61%),"1,734",17,0.02,07_100億未満
1380,秋川牧園,東S,1001,-2.0(-0.20%),"4,183",42,0.04,07_100億未満
1381,アクシーズ,東S,3765,+0.0(+0.00%),"21,150",212,0.21,06_100億以上~500億未満
1382,ホーブ,東S,1522,+2.0(+0.13%),"1,160",12,0.01,07_100億未満
1383,ベルグアース,東S,2830,-24.0(-0.84%),"4,566",46,0.05,07_100億未満
1384,ホクリヨウ,東S,2037,+22.0(+1.09%),"17,231",172,0.17,06_100億以上~500億未満
138A,光フードサービス,東G,2900,-2.0(-0.07%),"2,877",29,0.03,07_100億未満
1401,エムビーエス,東G,1280,-10.0(-0.78%),"9,897",99,0.10,07_100億未満
1407,ウエストＨＬＤＧ,東S,2436,-142.0(-5.51%),"112,123","1,121",1.12,04_1000億以上~5000億未満
1414,ショーボンドＨＬＤＧ,東P,1235.5,-8.0(-0.64%),"270,551","2,706",2.71,04_1000億以上~5000億未満
1417,ミライト・ワン,東P,3852,+24.0(+0.63%),"351,785","3,518",3.52,04_1000億以上~5000億未満
1418,インターライフＨＬＤＧ,東S,507,+2.0(+0.40%),"8,624",86,0.09,07_100億未満
1419,タマホーム,東P,2706,-130.0(-4.58%),"79,707",797,0.80,05_500億以上~1000億未満
141A,トライアルＨＬＤＧ,東G,2668,-66.0(-2.41%),"327,760","3,278",3.28,04_1000億以上~5000億未満
1420,サンヨーホームズ,東S,614,-2.0(-0.32%),"8,436",84,0.08,07_100億未満
1429,日本アクア,東P,706,-2.0(-0.28%),"24,541",245,0.25,06_100億以上~500億未満
142A,ジンジブ,東G,821,-9.0(-1.08%),"2,385",24,0.02,07_100億未満
1430,ファーストコーポレーション,東S,863,+7.0(+0.82%),"11,533",115,0.12,06_100億以上~500億未満
1431,Ｌｉｂ　Ｗｏｒｋ,東G,642,+0.0(+0.00%),"15,505",155,0.16,06_100億以上~500億未満
1433,ベステラ,東P,1004,-10.0(-0.99%),"9,334",93,0.09,07_100億未満
1434,ＪＥＳＣＯ　ＨＬＤＧ,東S,1979,-54.0(-2.66%),"13,804",138,0.14,06_100億以上~500億未満
1435,ｒｏｂｏｔ　ｈｏｍｅ,東S,159,-2.0(-1.24%),"14,489",145,0.14,06_100億以上~500億未満
1436,グリーンエナジー＆カンパニー,東G,1706,+20.0(+1.19%),"21,935",219,0.22,06_100億以上~500億未満
1438,岐阜造園,東S,1806,-54.0(-2.90%),"5,860",59,0.06,07_100億未満
143A,イシン,東G,690,+0.0(+0.00%),"1,334",13,0.01,07_100億未満
1443,技研ＨＬＤＧ,東S,229,-2.0(-0.87%),"3,718",37,0.04,07_100億未満
1444,ニッソウ,東G,2819,+34.0(+1.22%),"3,069",31,0.03,07_100億未満
1446,キャンディル,東S,524,+0.0(+0.00%),"5,625",56,0.06,07_100億未満
1447,ＳＡＡＦＨＬＤＧ,東G,287,+3.0(+1.06%),"7,016",70,0.07,07_100億未満
1450,ＴＡＮＡＫＥＮ,東S,1382,-8.0(-0.58%),"12,023",120,0.12,06_100億以上~500億未満
145A,Ｌ　ｉｓ　Ｂ,東G,833,-15.0(-1.77%),"4,288",43,0.04,07_100億未満
146A,コロンビア・ワークス,東S,2571,-141.0(-5.20%),"19,839",198,0.20,06_100億以上~500億未満
147A,ソラコム,東G,1120,-52.0(-4.44%),"51,049",510,0.51,05_500億以上~1000億未満
148A,ハッチ・ワーク,東G,1728,+2.0(+0.12%),"3,319",33,0.03,07_100億未満
1491,中外鉱業,東S,695,-21.0(-2.93%),"10,069",101,0.10,06_100億以上~500億未満
149A,シンカ,東G,765,-35.0(-4.38%),"2,492",25,0.02,07_100億未満
150A,ＪＳＨ,東G,356,+4.0(+1.14%),"2,017",20,0.02,07_100億未満
1514,住石ＨＬＤＧ,東S,550,-11.0(-1.96%),"36,973",370,0.37,06_100億以上~500億未満
1515,日鉄鉱業,東P,2406,-173.0(-6.71%),"192,480","1,925",1.92,04_1000億以上~5000億未満
1518,三井松島ＨＬＤＧ,東P,1382,-39.0(-2.74%),"90,275",903,0.90,05_500億以上~1000億未満
151A,ダイブ,東G,597,+0.0(+0.00%),"5,135",51,0.05,07_100億未満
153A,カウリス,東G,1743,+76.0(+4.56%),"11,390",114,0.11,06_100億以上~500億未満
155A,情報戦略テクノロジー,東G,844,+11.0(+1.32%),"9,030",90,0.09,07_100億未満
