コード,銘柄名,市場,時価総額(百万円),時価総額(億円),時価総額(兆円),ランクCD,ランク
1301,極洋,東P,50306,503.06,0,5,05_500億以上_1000億未満
130A,Veritas In Sili,東G,2653,26.53,0,7,07_100億未満
1332,ニッスイ,東P,382192,3821.92,0,4,04_1000億以上_5000億未満
1333,Umios,東P,187546,1875.46,0,4,04_1000億以上_5000億未満
135A,VRAIN Solution,東G,38050,380.5,0,6,06_100億以上_500億未満
1375,ユキグニファクトリー,東P,41747,417.47,0,6,06_100億以上_500億未満
1376,カネコ種苗,東S,16376,163.76,0,6,06_100億以上_500億未満
1377,サカタノタネ,東P,187546,1875.46,0,4,04_1000億以上_5000億未満
1379,ホクト,東P,60413,604.13,0,5,05_500億以上_1000億未満
137A,Cocolive,東G,1734,17.34,0,7,07_100億未満
1380,秋川牧園,東S,4183,41.83,0,7,07_100億未満
1381,アクシーズ,東S,21150,211.5,0,6,06_100億以上_500億未満
1382,ホーブ,東S,1160,11.6,0,7,07_100億未満
1383,ベルグアース,東S,4566,45.66,0,7,07_100億未満
1384,ホクリヨウ,東S,17231,172.31,0,6,06_100億以上_500億未満
138A,光フードサービス,東G,2877,28.77,0,7,07_100億未満
1401,エムビーエス,東G,9897,98.97,0,7,07_100億未満
1407,ウエストHLDG,東S,112123,1121.23,0,4,04_1000億以上_5000億未満
1414,ショーボンドHLDG,東P,270551,2705.51,0,4,04_1000億以上_5000億未満
1417,ミライト･ワン,東P,351785,3517.85,0,4,04_1000億以上_5000億未満
1418,インターライフHLDG,東S,8624,86.24,0,7,07_100億未満
1419,タマホーム,東P,79707,797.07,0,5,05_500億以上_1000億未満
141A,トライアルHLDG,東G,327760,3277.6,0,4,04_1000億以上_5000億未満
1420,サンヨーホームズ,東S,8436,84.36,0,7,07_100億未満
1429,日本アクア,東P,24541,245.41,0,6,06_100億以上_500億未満
142A,ジンジブ,東G,2385,23.85,0,7,07_100億未満
1430,ファーストコーポレーション,東S,11533,115.33,0,6,06_100億以上_500億未満
1431,Lib Work,東G,15505,155.05,0,6,06_100億以上_500億未満
1433,ベステラ,東P,9334,93.34,0,7,07_100億未満
1434,JESCO HLDG,東S,13804,138.04,0,6,06_100億以上_500億未満
1435,robot home,東S,14489,144.89,0,6,06_100億以上_500億未満
1436,グリーンエナジー&カンパニー,東G,21935,219.35,0,6,06_100億以上_500億未満
1438,岐阜造園,東S,5860,58.6,0,7,07_100億未満
143A,イシン,東G,1334,13.34,0,7,07_100億未満
1443,技研HLDG,東S,3718,37.18,0,7,07_100億未満
1444,ニッソウ,東G,3069,30.69,0,7,07_100億未満
1446,キャンディル,東S,5625,56.25,0,7,07_100億未満
1447,SAAFHLDG,東G,7016,70.16,0,7,07_100億未満
1450,TANAKEN,東S,12023,120.23,0,6,06_100億以上_500億未満
145A,L is B,東G,4288,42.88,0,7,07_100億未満
146A,コロンビア･ワークス,東S,19839,198.39,0,6,06_100億以上_500億未満
147A,ソラコム,東G,51049,510.49,0,5,05_500億以上_1000億未満
